secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
4433,0,96,26.3912,13.1832,0,0,106.6,-1.67901000,53.82639900,0,-0.555556,10,0,-255,0,0,0,0,0,0,0,0
4434,0,96,26.395,13.6728,0,0,106.4,-1.67895400,53.82639100,0,-1.08187,10,0,-255,0,0,0,0,0,0,0,0
4435,0,96,26.399,14.0112,0,0,106.4,-1.67889400,53.82638400,0,-1.08187,10,0,-255,0,0,0,0,0,0,0,0
4436,0,95,26.4031,14.3712,0,0,106.2,-1.67883300,53.82637600,0,-1.56968,10,0,-255,0,0,0,0,0,0,0,0
4437,0,95,26.4067,14.0328,0,0,106.2,-1.67878000,53.82636900,0,-1.56968,10,0,-255,0,0,0,0,0,0,0,0
4438,0,94,26.4093,13.0752,0,0,106,-1.67874100,53.82636500,0,-2.33891,10,0,-255,0,0,0,0,0,0,0,0
4439,0,93,26.4109,11.4768,0,0,106,-1.67871900,53.82635900,0,-2.33891,10,0,-255,0,0,0,0,0,0,0,0
4440,0,92,26.4112,8.748,0,0,106,-1.67871500,53.82635900,0,-1.78335,10,0,-255,0,0,0,0,0,0,0,0
4441,0,92,26.4112,5.7816,0,0,106,-1.67871500,53.82635900,0,-1.78335,10,0,-255,0,0,0,0,0,0,0,0
4442,0,92,26.4112,3.2328,0,0,105.8,-1.67871500,53.82635900,0,-1.78335,10,0,-255,0,0,0,0,0,0,0,0
4443,0,92,26.4112,1.3176,0,0,105.8,-1.67871500,53.82635900,0,-1.78335,10,0,-255,0,0,0,0,0,0,0,0
4444,0,92,26.4112,0.1872,0,0,105.8,-1.67871500,53.82635900,0,-1.25704,10,0,-255,0,0,0,0,0,0,0,0
4445,0,93,26.4112,0,0,0,105.6,-1.67871500,53.82635900,0,-1.25704,10,0,-255,0,0,0,0,0,0,0,0
4473,0,93,26.4116,0.054,0,0,105.4,-1.67867400,53.82634600,0,-0.769231,10,0,-255,0,0,0,0,0,0,0,0
4474,0,93,26.4142,0.3816,0,0,105.4,-1.67863600,53.82633800,0,-0.769231,10,0,-255,0,0,0,0,0,0,0,0
4475,0,94,26.417,0.6984,0,0,105.4,-1.67859700,53.82633100,0,0,10,0,-255,0,0,0,0,0,0,0,0
4476,0,94,26.42,1.0296,0,0,105.2,-1.67855300,53.82632300,0,-0.666667,10,0,-255,0,0,0,0,0,0,0,0
4477,0,95,26.4236,1.3968,0,0,105.2,-1.67850100,53.82631600,0,-0.666667,10,0,-255,0,0,0,0,0,0,0,0
4478,0,95,26.4274,1.3968,0,0,105,-1.67844400,53.82630800,0,-1.19298,10,0,-255,0,0,0,0,0,0,0,0
4479,15,96,26.4316,12.5136,0,0,104.8,-1.67838100,53.82630100,0,-1.66917,10,0,-255,0,0,0,0,0,0,0,0
4480,50,97,26.4361,13.8024,0,0,104.8,-1.67831300,53.82629600,0,-1.66917,10,0,-255,0,0,0,0,0,0,0,0
4481,47,97,26.441,15.12,0,0,104.6,-1.67824000,53.82628800,0,-2.07734,10,0,-255,0,0,0,0,0,0,0,0
4482,41,98,26.4464,16.4736,0,0,104.6,-1.67816000,53.82627300,0,-2.07734,10,0,-255,0,0,0,0,0,0,0,0
4483,35,99,26.4521,17.8056,0,0,104.2,-1.67807700,53.82626100,0,-2.77909,10,0,-255,0,0,0,0,0,0,0,0
4484,30,99,26.4581,19.044,0,0,104,-1.67798900,53.82625000,0,-3.11242,10,0,-255,0,0,0,0,0,0,0,0
4485,55,98,26.4643,20.2824,0,0,103.8,-1.67789600,53.82623900,0,-3.435,10,0,-255,0,0,0,0,0,0,0,0
4486,75,98,26.471,21.5784,0,0,103.6,-1.67779700,53.82622700,0,-3.06685,10,0,-255,0,0,0,0,0,0,0,0
4487,72,98,26.4778,22.608,0,0,103.4,-1.67769500,53.82621500,0,-3.36096,10,0,-255,0,0,0,0,0,0,0,0
4488,65,98,26.4849,23.5944,0,0,103.2,-1.67759000,53.82620000,0,-3.11634,10,0,-255,0,0,0,0,0,0,0,0
4489,57,98,26.4926,24.8616,0,0,102.8,-1.67747700,53.82618300,0,-3.15963,10,0,-255,0,0,0,0,0,0,0,0
4490,45,98,26.5004,26.0136,0,1,102.6,-1.67736200,53.82616500,0,-3.41604,10,0,-255,0,0,0,0,0,0,0,0
4491,33,98,26.5088,27.252,0,1,102.2,-1.67723600,53.82615100,0,-3.48406,10,0,-255,0,0,0,0,0,0,0,0
4492,21,98,26.518,28.908,0,2,101.8,-1.67710000,53.82613800,0,-3.91885,10,0,-255,0,0,0,0,0,0,0,0
4493,65,98,26.527,30.3408,0,3,101.2,-1.67696500,53.82612300,0,-3.88376,10,0,-255,0,0,0,0,0,0,0,0
4494,56,98,26.5368,31.8096,0,1,100.6,-1.67682000,53.82610400,0,-4.16267,10,0,-255,0,0,0,0,0,0,0,0
4495,67,98,26.5466,33.2064,0,0,100.2,-1.67667400,53.82608900,0,-4.24825,10,0,-255,0,0,0,0,0,0,0,0
4496,66,98,26.5569,34.6176,0,0,99.6,-1.67651900,53.82607300,0,-4.53227,10,0,-255,0,0,0,0,0,0,0,0
4497,63,98,26.5679,35.9712,0,0,98.8,-1.67635400,53.82605400,0,-4.96543,10,0,-255,0,0,0,0,0,0,0,0
4498,60,100,26.5788,37.2816,0,2,98,-1.67619200,53.82603600,0,-5.41768,10,0,-255,0,0,0,0,0,0,0,0
4499,61,100,26.5906,38.7216,0,7,97.2,-1.67601600,53.82602000,0,-5.57617,10,0,-255,0,0,0,0,0,0,0,0
4500,59,100,26.6023,40.1616,0,17,96.4,-1.67583800,53.82600500,0,-6.00352,10,0,-255,0,0,0,0,0,0,0,0
4501,43,102,26.6144,41.3856,0,12,95.8,-1.67565800,53.82598900,0,-6.02319,10,0,-255,0,0,0,0,0,0,0,0
4502,26,102,26.6274,42.84,0,7,95,-1.67546300,53.82596900,0,-6.2038,10,0,-255,0,0,0,0,0,0,0,0
4503,9,102,26.6406,44.4888,0,3,94,-1.67526600,53.82594700,0,-6.29471,10,0,-255,0,0,0,0,0,0,0,0
4504,0,102,26.6543,45.9144,0,0,93.2,-1.67506100,53.82592700,0,-6.2664,10,0,-255,0,0,0,0,0,0,0,0
4505,0,102,26.6681,47.3688,0,0,92.2,-1.67485300,53.82590800,0,-6.58288,10,0,-255,0,0,0,0,0,0,0,0
4506,0,102,26.6817,48.456,0,0,91.2,-1.67464900,53.82588900,0,-6.73565,10,0,-255,0,0,0,0,0,0,0,0
4507,0,102,26.6958,49.1832,0,0,90.4,-1.67443900,53.82586700,0,-6.57575,10,0,-255,0,0,0,0,0,0,0,0
4508,0,102,26.7101,50.0112,0,0,89.2,-1.67422400,53.82584800,0,-6.68097,10,0,-255,0,0,0,0,0,0,0,0
4509,0,102,26.7245,50.5008,0,0,88.2,-1.67400800,53.82582800,0,-6.69744,10,0,-255,0,0,0,0,0,0,0,0
4510,0,102,26.7393,51.2424,0,0,87.2,-1.67378600,53.82580500,0,-6.68936,10,0,-255,0,0,0,0,0,0,0,0
4511,0,102,26.7537,51.8544,0,0,86.6,-1.67357100,53.82578200,0,-6.61016,10,0,-255,0,0,0,0,0,0,0,0
4512,0,102,26.7677,51.7896,0,0,85.6,-1.67336200,53.82576000,0,-6.70906,10,0,-255,0,0,0,0,0,0,0,0
4513,0,102,26.7827,52.2648,0,0,85,-1.67313700,53.82574100,0,-6.35148,10,0,-255,0,0,0,0,0,0,0,0
4514,0,102,26.7969,52.1496,0,0,84.4,-1.67292400,53.82572100,0,-6.19008,10,0,-255,0,0,0,0,0,0,0,0
4515,0,102,26.8107,51.4008,0,0,84,-1.67271800,53.82569800,0,-5.75529,10,0,-255,0,0,0,0,0,0,0,0
4516,0,102,26.8251,51.3648,0,0,84,-1.67250300,53.82567300,0,-5.02,10,0,-255,0,0,0,0,0,0,0,0
4517,0,102,26.8393,51.5232,0,0,83.6,-1.67229100,53.82565300,0,-4.73431,10,0,-255,0,0,0,0,0,0,0,0
4518,0,102,26.8525,50.2992,0,0,83,-1.67209300,53.82563000,0,-4.3497,10,0,-255,0,0,0,0,0,0,0,0
4519,0,102,26.8658,49.6008,0,0,82.4,-1.67189600,53.82560600,0,-4.10638,10,0,-255,0,0,0,0,0,0,0,0
4520,0,102,26.8791,49.2624,0,0,81.4,-1.67169800,53.82557900,0,-4.18259,10,0,-255,0,0,0,0,0,0,0,0
4521,0,102,26.8922,48.348,0,0,80.6,-1.67150500,53.82555200,0,-4.37661,10,0,-255,0,0,0,0,0,0,0,0
4522,0,102,26.906,48.0888,0,0,79.8,-1.67130100,53.82552100,0,-4.24203,10,0,-255,0,0,0,0,0,0,0,0
4523,0,102,26.9203,48.7944,0,0,79.2,-1.67109100,53.82549000,0,-4.26161,10,0,-255,0,0,0,0,0,0,0,0
4524,0,102,26.934,49.0896,0,0,78.2,-1.67089000,53.82545900,0,-4.569,10,0,-255,0,0,0,0,0,0,0,0
4525,0,102,26.9478,49.4352,0,0,77.4,-1.67068900,53.82542600,0,-4.85886,10,0,-255,0,0,0,0,0,0,0,0
4526,0,102,26.962,50.2272,0,0,76.6,-1.67048200,53.82538900,0,-5.42224,10,0,-255,0,0,0,0,0,0,0,0
4527,0,102,26.9757,50.1696,0,0,75.4,-1.67028600,53.82534600,0,-6.01646,10,0,-255,0,0,0,0,0,0,0,0
